MLS Number,Address,City,List Price,List Date,DOM,Status,Property Type,Building SqFt,# of Bedrooms,Full Baths,Subdivision
A250001,401 Beach Rd,Port Aransas,192000,2024-02-02,34,Active,Detached,802,3,3,Port Aransas
A250002,402 Beach Rd,Port Aransas,244000,2024-03-03,43,Active,Detached,824,4,4,Port Aransas
A250003,403 Beach Rd,Port Aransas,296000,2024-04-04,52,Active,Condo,846,5,2,Port Aransas
A250004,404 Beach Rd,Port Aransas,348000,2024-05-05,61,Active,Detached,868,2,3,Port Aransas
A250005,405 Beach Rd,Port Aransas,1650000,2024-06-06,70,Active,Detached,890,3,4,Port Aransas
A250006,406 Beach Rd,Port Aransas,392000,2024-07-07,79,Active,Condo,912,4,2,Port Aransas
A250007,407 Beach Rd,Port Aransas,444000,2024-08-08,88,Active,Detached,934,5,3,Port Aransas
A250008,408 Beach Rd,Port Aransas,496000,2024-09-09,97,Active,Detached,956,2,4,Port Aransas
A250009,409 Beach Rd,Port Aransas,548000,2024-10-10,106,Active,Condo,978,3,2,Port Aransas
A250010,410 Beach Rd,Port Aransas,950000,2024-11-11,115,Active,Detached,1000,4,3,Port Aransas
A250011,411 Beach Rd,Port Aransas,652000,2024-12-12,124,Active,Detached,1022,5,4,Port Aransas
A250012,412 Beach Rd,Port Aransas,644000,2024-01-13,133,Active,Condo,1044,2,2,Port Aransas
A250013,413 Beach Rd,Port Aransas,696000,2024-02-14,142,Active,Detached,1066,3,3,Port Aransas
A250014,414 Beach Rd,Port Aransas,748000,2024-03-15,151,Active,Detached,1088,4,4,Port Aransas
A250015,415 Beach Rd,Port Aransas,1650000,2024-04-16,160,Active,Condo,1110,5,2,Port Aransas
A250016,416 Beach Rd,Port Aransas,852000,2024-05-17,169,Active,Detached,1132,2,3,Port Aransas
A250017,417 Beach Rd,Port Aransas,904000,2024-06-18,178,Active,Detached,1154,3,4,Port Aransas
A250018,418 Beach Rd,Port Aransas,896000,2024-07-19,187,Active,Condo,1176,4,2,Port Aransas
A250019,419 Beach Rd,Port Aransas,948000,2024-08-20,196,Active,Detached,1198,5,3,Port Aransas
A250020,420 Beach Rd,Port Aransas,950000,2024-09-21,205,Active,Detached,1220,2,4,Port Aransas
A250021,421 Beach Rd,Port Aransas,1052000,2024-10-22,214,Active,Condo,1242,3,2,Port Aransas
A250022,422 Beach Rd,Port Aransas,1104000,2024-11-23,223,Active,Detached,1264,4,3,Port Aransas
A250023,423 Beach Rd,Port Aransas,1156000,2024-12-24,232,Active,Detached,1286,5,4,Port Aransas
A250024,424 Beach Rd,Port Aransas,1148000,2024-01-25,241,Active,Condo,1308,2,2,Port Aransas
A250025,425 Beach Rd,Port Aransas,1650000,2024-02-26,250,Active,Detached,1330,3,3,Port Aransas
A250026,426 Beach Rd,Port Aransas,1252000,2024-03-27,259,Active,Detached,1352,4,4,Port Aransas
A250027,427 Beach Rd,Port Aransas,1304000,2024-04-01,268,Active,Condo,1374,5,2,Port Aransas
A250028,428 Beach Rd,Port Aransas,1356000,2024-05-02,277,Active,Detached,1396,2,3,Port Aransas
A250029,429 Beach Rd,Port Aransas,1408000,2024-06-03,286,Active,Detached,1418,3,4,Port Aransas
A250030,430 Beach Rd,Port Aransas,950000,2024-07-04,295,Active,Condo,1440,4,2,Port Aransas
A250031,431 Beach Rd,Port Aransas,1452000,2024-08-05,304,Active,Detached,1462,5,3,Port Aransas
A250032,432 Beach Rd,Port Aransas,1504000,2024-09-06,33,Active,Detached,1484,2,4,Port Aransas
A250033,433 Beach Rd,Port Aransas,1556000,2024-10-07,42,Active,Condo,1506,3,2,Port Aransas
A250034,434 Beach Rd,Port Aransas,1608000,2024-11-08,51,Active,Detached,1528,4,3,Port Aransas
A250035,435 Beach Rd,Port Aransas,1650000,2024-12-09,60,Active,Detached,1550,5,4,Port Aransas
A250036,436 Beach Rd,Port Aransas,1652000,2024-01-10,69,Active,Condo,1572,2,2,Port Aransas
A250037,437 Beach Rd,Port Aransas,1704000,2024-02-11,78,Active,Detached,1594,3,3,Port Aransas
A250038,438 Beach Rd,Port Aransas,160000,2024-03-12,87,Active,Detached,1616,4,4,Port Aransas
A250039,439 Beach Rd,Port Aransas,212000,2024-04-13,96,Active,Condo,1638,5,2,Port Aransas
A250040,440 Beach Rd,Port Aransas,950000,2024-05-14,105,Active,Detached,1660,2,3,Port Aransas
A250041,441 Beach Rd,Port Aransas,316000,2024-06-15,114,Active,Detached,1682,3,4,Port Aransas
A250042,442 Beach Rd,Port Aransas,308000,2024-07-16,123,Active,Condo,1704,4,2,Port Aransas
A250043,443 Beach Rd,Port Aransas,360000,2024-08-17,132,Active,Detached,1726,5,3,Port Aransas
A250044,444 Beach Rd,Port Aransas,412000,2024-09-18,141,Active,Detached,1748,2,4,Port Aransas
A250045,445 Beach Rd,Port Aransas,1650000,2024-10-19,150,Active,Condo,1770,3,2,Port Aransas
A250046,446 Beach Rd,Port Aransas,516000,2024-11-20,159,Active,Detached,1792,4,3,Port Aransas
A250047,447 Beach Rd,Port Aransas,568000,2024-12-21,168,Active,Detached,1814,5,4,Port Aransas
A250048,448 Beach Rd,Port Aransas,560000,2024-01-22,177,Active,Condo,1836,2,2,Port Aransas
