MLS Number,Address,City,Sale Price,List Price,Close Date,List Date,DOM,Days to Close,Status,Property Type,Building SqFt,# of Bedrooms,Full Baths,Subdivision
PA260001,101 Sample St Unit 1,Port Aransas,150000,165000,2026-06-11,2025-12-02,87,21,Sold,Detached,940,2,2,Port Aransas
PA260002,102 Sample St Unit 2,Port Aransas,175000,195000,2026-06-12,2025-12-03,94,22,Sold,Detached,980,3,2,Island Moorings
PA260003,103 Sample St Unit 3,Port Aransas,225000,240000,2026-06-13,2025-12-04,101,23,Sold,Condo,1020,4,3,La Mirage
PA260004,104 Sample St Unit 4,Port Aransas,275000,295000,2026-06-14,2025-12-05,108,24,Sold,Detached,1060,5,2,Cinnamon Shore
PA260005,105 Sample St Unit 5,Port Aransas,325000,340000,2026-06-15,2025-12-06,115,25,Sold,Detached,1100,2,2,Port Aransas
PA260006,106 Sample St Unit 6,Port Aransas,350000,370000,2026-06-16,2025-12-07,122,26,Sold,Detached,1140,3,3,Island Moorings
PA260007,107 Sample St Unit 7,Port Aransas,375000,390000,2026-06-17,2025-12-08,129,27,Sold,Condo,1180,4,2,La Mirage
PA260008,108 Sample St Unit 8,Port Aransas,425000,445000,2026-06-18,2025-12-09,136,28,Sold,Detached,1220,5,2,Cinnamon Shore
PA260009,109 Sample St Unit 9,Port Aransas,450000,465000,2026-06-19,2025-12-10,143,29,Sold,Detached,1260,2,3,Port Aransas
PA260010,110 Sample St Unit 10,Port Aransas,475000,495000,2026-06-20,2025-12-11,150,30,Sold,Detached,1300,3,2,Island Moorings
PA260011,111 Sample St Unit 11,Port Aransas,525000,540000,2026-06-21,2025-12-12,157,31,Sold,Condo,1340,4,2,La Mirage
PA260012,112 Sample St Unit 12,Port Aransas,575000,595000,2026-06-22,2025-12-13,164,32,Sold,Detached,1380,5,3,Cinnamon Shore
PA260013,113 Sample St Unit 13,Port Aransas,625000,640000,2026-06-23,2025-12-14,171,33,Sold,Detached,1420,2,2,Port Aransas
PA260014,114 Sample St Unit 14,Port Aransas,685000,700000,2026-06-24,2025-12-15,178,34,Sold,Detached,1460,3,2,Island Moorings
PA260015,115 Sample St Unit 15,Port Aransas,685000,710000,2026-06-25,2025-12-16,185,35,Sold,Condo,1500,4,3,La Mirage
PA260016,116 Sample St Unit 16,Port Aransas,710000,725000,2026-06-26,2025-12-17,192,36,Sold,Detached,1540,5,2,Cinnamon Shore
PA260017,117 Sample St Unit 17,Port Aransas,735000,755000,2026-06-11,2025-12-18,199,21,Sold,Detached,1580,2,2,Port Aransas
PA260018,118 Sample St Unit 18,Port Aransas,780000,795000,2026-06-12,2025-12-19,206,22,Sold,Detached,1620,3,3,Island Moorings
PA260019,119 Sample St Unit 19,Port Aransas,850000,870000,2026-06-13,2025-12-20,213,23,Sold,Condo,1660,4,2,La Mirage
PA260020,120 Sample St Unit 20,Port Aransas,925000,940000,2026-06-14,2025-12-21,220,24,Sold,Detached,1700,5,2,Cinnamon Shore
PA260021,121 Sample St Unit 21,Port Aransas,1000000,1020000,2026-06-15,2025-12-22,227,25,Sold,Detached,1740,2,3,Port Aransas
PA260022,122 Sample St Unit 22,Port Aransas,1100000,1125000,2026-06-16,2025-12-23,234,26,Sold,Detached,1780,3,2,Island Moorings
PA260023,123 Sample St Unit 23,Port Aransas,1200000,1230000,2026-06-17,2025-12-24,241,27,Sold,Condo,1820,4,2,La Mirage
PA260024,124 Sample St Unit 24,Port Aransas,1350000,1375000,2026-06-18,2025-12-25,248,28,Sold,Detached,1860,5,3,Cinnamon Shore
PA260025,125 Sample St Unit 25,Port Aransas,1500000,1530000,2026-06-19,2025-12-26,255,29,Sold,Detached,1900,2,2,Port Aransas
PA260026,126 Sample St Unit 26,Port Aransas,1650000,1680000,2026-06-20,2025-12-27,262,30,Sold,Detached,1940,3,2,Island Moorings
PA260027,127 Sample St Unit 27,Port Aransas,1800000,1840000,2026-06-21,2025-12-01,269,31,Sold,Condo,1980,4,3,La Mirage
PA260028,128 Sample St Unit 28,Port Aransas,2100000,2140000,2026-06-22,2025-12-02,276,32,Sold,Detached,2020,5,2,Cinnamon Shore
PA260029,129 Sample St Unit 29,Port Aransas,2500000,2550000,2026-06-23,2025-12-03,283,33,Sold,Detached,2060,2,2,Port Aransas
PA260030,130 Sample St Unit 30,Port Aransas,3200000,3290000,2026-06-24,2025-12-04,290,34,Sold,Detached,2100,3,3,Island Moorings
